request	account_type	client_type	cost_of_service	currency	metro_station	online_reserving	region	resident	show_docs
Добрый день! хочу открыть счет для некоммерческое партнерство у вас в банке что для этого требуется ?		некоммерческое партнерство							
Здравствуйте! хочу открыть счет для некоммерческие организации у вас в банке что для этого требуется ?		некоммерческие организации							
Здравствуйте! хочу открыть счет для муниципальное унитарное предприятие у вас в банке что для этого требуется ?		муниципальное унитарное предприятие							
фермерское хозяйство резидент. Приморский, Малопургинский район ... Хочу открыть счёт для строительства в отделении сбербанка	счёт для строительства	фермерское хозяйство					Приморский	резидент	
Добрый день! компания не резидент. Ингушетия, Малопургинский район ... Хочу открыть счёт платёжного агента в отделении сбербанка	счёт платёжного агента	компания					Ингушетия	не резидент	
физик резидент. Омская область, Малопургинский район ... Хочу открыть 275 ФЗ в отделении сбербанка	275 ФЗ	физик					Омская область	резидент	
полное товарищество рф. Ненецкий ао, Малопургинский район ... Хочу открыть счёт для списание денег на банковские счета в отделении сбербанка	счёт для списание денег на банковские счета	полное товарищество					Ненецкий ао	рф	
товарищество на вере не являюсь. Оренбургская область, Малопургинский район ... Хочу открыть счёт для открытия паевого фонда в отделении сбербанка	счёт для открытия паевого фонда	товарищество на вере					Оренбургская область	не являюсь	
открытое акционерное общество да. Чувашская Республика - Чувашия, Малопургинский район ... Хочу открыть счёт для проверки соответствия проектно-сметной документации в отделении сбербанка	счёт для проверки соответствия проектно-сметной документации	открытое акционерное общество					Чувашская Республика - Чувашия	да	
частный клиент резидент. Ленинградская, Малопургинский район ... Хочу открыть иностранный счёт в отделении сбербанка	иностранный счёт	частный клиент					Ленинградская	резидент	
ОДО не рф. Ингушетия, Малопургинский район ... Хочу открыть счёт для подтверждения открытия в отделении сбербанка	счёт для подтверждения открытия	ОДО					Ингушетия	не рф	
муниципальное унитарное предприятие да. Татария, Малопургинский район ... Хочу открыть счёт для уплаты процентов по капитальному ремонту в отделении сбербанка	счёт для уплаты процентов по капитальному ремонту	муниципальное унитарное предприятие					Татария	да	
коммерческие организации не рф. Татарстан, Малопургинский район ... Хочу открыть Текущий валютный счет в отделении сбербанка	Текущий валютный счет	коммерческие организации					Татарстан	не рф	
Здравствуйте! государственная корпорация являюсь. Чеченская, Малопургинский район ... Хочу открыть Специальный счет платежного агента/банковского платежного агента/поставщика в отделении сбербанка	Специальный счет платежного агента/банковского платежного агента/поставщика	государственная корпорация					Чеченская	являюсь	
Здравствуйте. общество с ограниченной ответственностью резидент. Ненецкий, Малопургинский район ... Хочу открыть обособленный счёт в отделении сбербанка	обособленный счёт	общество с ограниченной ответственностью					Ненецкий	резидент	
Здравствуйте. ООО рф. Питер, Малопургинский район ... Хочу открыть счёт для внесения уставного капитала в отделении сбербанка	счёт для внесения уставного капитала	ООО					Питер	рф	
Здравствуйте. общество при одном учредителе да. Ивановская область, Малопургинский район ... Хочу открыть государственный заказ в отделении сбербанка	государственный заказ	общество при одном учредителе					Ивановская область	да	
религиозная организация нет. Вологодская область, Малопургинский район ... Хочу открыть счет для Товарищества собственников жилья в отделении сбербанка	счет для Товарищества собственников жилья	религиозная организация					Вологодская область	нет	
Добрый день. общество с дополнительной ответственностью нет. Кемеровская область, Малопургинский район ... Хочу открыть счёт для получения дохода в отделении сбербанка	счёт для получения дохода	общество с дополнительной ответственностью					Кемеровская область	нет	
Здравствуйте! публичное акционерное общество не являюсь. Псковская, Малопургинский район ... Хочу открыть ГосОбрЗаказ в отделении сбербанка	ГосОбрЗаказ	публичное акционерное общество					Псковская	не являюсь	
Добрый день. общество с дополнительной ответственностью рф. Рязанская область, Малопургинский район ... Хочу открыть государственный заказ в отделении сбербанка	государственный заказ	общество с дополнительной ответственностью					Рязанская область	рф	
индивидуальный предприниматель не резидент. Чеченская Республика, Малопургинский район ... Хочу открыть доверительный счёт в отделении сбербанка	доверительный счёт	индивидуальный предприниматель					Чеченская Республика	не резидент	
Добрый день. общественная организация да. Кабардино-Балкарская Республика, Малопургинский район ... Хочу открыть агентский счёт в отделении сбербанка	агентский счёт	общественная организация					Кабардино-Балкарская Республика	да	
Здравствуйте! как зарезервировать 159ФЗ	159ФЗ								
Здравствуйте! как зарезервировать счета госконтракта	счета госконтракта								
Здравствуйте. как зарезервировать счёт в валюте	счёт в валюте								
как зарезервировать счёт по гособорону	счёт по гособорону								
как зарезервировать счёт по госконтракту	счёт по госконтракту								
Добрый день! как зарезервировать счёт для погашения кредитов в рамках кап. ремонта	счёт для погашения кредитов в рамках кап. ремонта								
Здравствуйте. как зарезервировать счёт для оформления депозита	счёт для оформления депозита								
Добрый день. как зарезервировать Специальный счет для формирования фонда капитального ремонта	Специальный счет для формирования фонда капитального ремонта								
Здравствуйте! как зарезервировать счёт для проверки информации об исполнении контракта	счёт для проверки информации об исполнении контракта								
Здравствуйте! как зарезервировать счёт для получения дохода	счёт для получения дохода								
как зарезервировать счёт для капитального ремонта	счёт для капитального ремонта								
как зарезервировать счёт на юридическое лицо	счёт на юридическое лицо								
как зарезервировать арбитражный счёт	арбитражный счёт								
Добрый день. как зарезервировать строительный счёт	строительный счёт								
Здравствуйте. как зарезервировать государственный заказ	государственный заказ								
как зарезервировать ГосКонтракт	ГосКонтракт								
как зарезервировать счёт для списание денег на банковские счета	счёт для списание денег на банковские счета								
как зарезервировать 44 ФЗ	44 ФЗ								
как зарезервировать счёт для управления	счёт для управления								
как зарезервировать агентский счёт	агентский счёт								
Добрый день! подскажите где я могу найти информацию об открытии норвежские кроны, стоимость обслуживания и можно ли это сделать из Бизнес онлайн. Спасибо.			YES	норвежские кроны					
Здравствуйте! подскажите где я могу найти информацию об открытии р., стоимость обслуживания и можно ли это сделать из Бизнес онлайн. Спасибо.			YES	р.					
Здравствуйте! подскажите где я могу найти информацию об открытии в датских кронах, стоимость обслуживания и можно ли это сделать из Бизнес онлайн. Спасибо.			YES	в датских кронах					
Добрый день! подскажите где я могу найти информацию об открытии ₽, стоимость обслуживания и можно ли это сделать из Бизнес онлайн. Спасибо.			YES	₽					
подскажите где я могу найти информацию об открытии рубли, стоимость обслуживания и можно ли это сделать из Бизнес онлайн. Спасибо.			YES	рубли					
Добрый день! подскажите где я могу найти информацию об открытии €, стоимость обслуживания и можно ли это сделать из Бизнес онлайн. Спасибо.			YES	€					
подскажите где я могу найти информацию об открытии dollar, стоимость обслуживания и можно ли это сделать из Бизнес онлайн. Спасибо.			YES	dollar					
подскажите где я могу найти информацию об открытии в норвежских кронах, стоимость обслуживания и можно ли это сделать из Бизнес онлайн. Спасибо.			YES	в норвежских кронах					
подскажите где я могу найти информацию об открытии CHF, стоимость обслуживания и можно ли это сделать из Бизнес онлайн. Спасибо.			YES	CHF					
подскажите где я могу найти информацию об открытии в австралийских долларах, стоимость обслуживания и можно ли это сделать из Бизнес онлайн. Спасибо.			YES	в австралийских долларах					
Здравствуйте! подскажите где я могу найти информацию об открытии RUB, стоимость обслуживания и можно ли это сделать из Бизнес онлайн. Спасибо.			YES	RUB					
подскажите где я могу найти информацию об открытии баксы, стоимость обслуживания и можно ли это сделать из Бизнес онлайн. Спасибо.			YES	баксы					
Добрый день. подскажите где я могу найти информацию об открытии фунты стерлингов Соединенного Королевства, стоимость обслуживания и можно ли это сделать из Бизнес онлайн. Спасибо.			YES	фунты стерлингов Соединенного Королевства					
Здравствуйте! подскажите где я могу найти информацию об открытии канадские доллары, стоимость обслуживания и можно ли это сделать из Бизнес онлайн. Спасибо.			YES	канадские доллары					
Добрый день. подскажите где я могу найти информацию об открытии £, стоимость обслуживания и можно ли это сделать из Бизнес онлайн. Спасибо.			YES	£					
Здравствуйте. подскажите где я могу найти информацию об открытии доллар, стоимость обслуживания и можно ли это сделать из Бизнес онлайн. Спасибо.			YES	доллар					
подскажите где я могу найти информацию об открытии SGD, стоимость обслуживания и можно ли это сделать из Бизнес онлайн. Спасибо.			YES	SGD					
Добрый день. подскажите где я могу найти информацию об открытии доллары, стоимость обслуживания и можно ли это сделать из Бизнес онлайн. Спасибо.			YES	доллары					
Добрый день. подскажите где я могу найти информацию об открытии руб., стоимость обслуживания и можно ли это сделать из Бизнес онлайн. Спасибо.			YES	руб.					
Добрый день. подскажите где я могу найти информацию об открытии в японских иенах, стоимость обслуживания и можно ли это сделать из Бизнес онлайн. Спасибо.			YES	в японских иенах					
Здравствуйте! я недавно открыл некоммерческие организации. хотелось бы открыть счет в вашем банке, для безналичного перевода. какие продукты Вы можете предложить?		некоммерческие организации	YES						
Здравствуйте! я недавно открыл публично-правовая компания. хотелось бы открыть счет в вашем банке, для безналичного перевода. какие продукты Вы можете предложить?		публично-правовая компания	YES						
Добрый день! я недавно открыл предприниматель. хотелось бы открыть счет в вашем банке, для безналичного перевода. какие продукты Вы можете предложить?		предприниматель	YES						
Здравствуйте. я недавно открыл внесенное в государственный реестр казачьих обществ в Российской Федерации. хотелось бы открыть счет в вашем банке, для безналичного перевода. какие продукты Вы можете предложить?		внесенное в государственный реестр казачьих обществ в Российской Федерации	YES						
я недавно открыл ипэшник. хотелось бы открыть счет в вашем банке, для безналичного перевода. какие продукты Вы можете предложить?		ипэшник	YES						
я недавно открыл ассоциация. хотелось бы открыть счет в вашем банке, для безналичного перевода. какие продукты Вы можете предложить?		ассоциация	YES						
я недавно открыл ЮЛ. хотелось бы открыть счет в вашем банке, для безналичного перевода. какие продукты Вы можете предложить?		ЮЛ	YES						
я недавно открыл ЗАО. хотелось бы открыть счет в вашем банке, для безналичного перевода. какие продукты Вы можете предложить?		ЗАО	YES						
я недавно открыл товарищество на вере. хотелось бы открыть счет в вашем банке, для безналичного перевода. какие продукты Вы можете предложить?		товарищество на вере	YES						
я недавно открыл союз. хотелось бы открыть счет в вашем банке, для безналичного перевода. какие продукты Вы можете предложить?		союз	YES						
Здравствуйте. я недавно открыл организация. хотелось бы открыть счет в вашем банке, для безналичного перевода. какие продукты Вы можете предложить?		организация	YES						
Добрый день. я недавно открыл товарищество собственников недвижимости. хотелось бы открыть счет в вашем банке, для безналичного перевода. какие продукты Вы можете предложить?		товарищество собственников недвижимости	YES						
Здравствуйте! я недавно открыл юр. лицо. хотелось бы открыть счет в вашем банке, для безналичного перевода. какие продукты Вы можете предложить?		юр. лицо	YES						
Добрый день. я недавно открыл товарищество собственников жилья. хотелось бы открыть счет в вашем банке, для безналичного перевода. какие продукты Вы можете предложить?		товарищество собственников жилья	YES						
Здравствуйте. я недавно открыл общество взаимного страхования. хотелось бы открыть счет в вашем банке, для безналичного перевода. какие продукты Вы можете предложить?		общество взаимного страхования	YES						
Добрый день! я недавно открыл государственная академия наук. хотелось бы открыть счет в вашем банке, для безналичного перевода. какие продукты Вы можете предложить?		государственная академия наук	YES						
Добрый день! я недавно открыл юридическая консультация. хотелось бы открыть счет в вашем банке, для безналичного перевода. какие продукты Вы можете предложить?		юридическая консультация	YES						
Здравствуйте! я недавно открыл общественный фонд. хотелось бы открыть счет в вашем банке, для безналичного перевода. какие продукты Вы можете предложить?		общественный фонд	YES						
Добрый день. я недавно открыл хоз. общества. хотелось бы открыть счет в вашем банке, для безналичного перевода. какие продукты Вы можете предложить?		хоз. общества	YES						
я недавно открыл физ. лицо. хотелось бы открыть счет в вашем банке, для безналичного перевода. какие продукты Вы можете предложить?		физ. лицо	YES						
Здравствуйте. вопрос по документам при открытии счета: выписка егрюл и лист записи в каком  виде?  С сайта фнс устроит?									YES
Здравствуйте! Какие документы необходимы для открытия 44ФЗ.  Нужна ли выписка из ЕГРЮЛ ?	44ФЗ								YES
Какие документы необходимы для открытия арбитражный счёт.  Нужна ли выписка из ЕГРЮЛ ?	арбитражный счёт								YES
Добрый день! Какие документы необходимы для открытия счёт для первичного внесения средств.  Нужна ли выписка из ЕГРЮЛ ?	счёт для первичного внесения средств								YES
Здравствуйте! Какие документы необходимы для открытия государственный контракт.  Нужна ли выписка из ЕГРЮЛ ?	государственный контракт								YES
Добрый день! Какие документы необходимы для открытия счёт для внесения уставного капитала.  Нужна ли выписка из ЕГРЮЛ ?	счёт для внесения уставного капитала								YES
Добрый день! Какие документы необходимы для открытия неснижаемый остаток на депозитных счетах.  Нужна ли выписка из ЕГРЮЛ ?	неснижаемый остаток на депозитных счетах								YES
Здравствуйте! Какие документы необходимы для открытия счёт платёжного агента.  Нужна ли выписка из ЕГРЮЛ ?	счёт платёжного агента								YES
Какие документы необходимы для открытия валютный счёт.  Нужна ли выписка из ЕГРЮЛ ?	валютный счёт								YES
Здравствуйте. Какие документы необходимы для открытия государственный заказ.  Нужна ли выписка из ЕГРЮЛ ?	государственный заказ								YES
Какие документы необходимы для открытия Банковское сопровождение государственных контрактов.  Нужна ли выписка из ЕГРЮЛ ?	Банковское сопровождение государственных контрактов								YES
Здравствуйте. Какие документы необходимы для открытия счёт для валютных операций.  Нужна ли выписка из ЕГРЮЛ ?	счёт для валютных операций								YES
Какие документы необходимы для открытия счёт в рамках жилищного кодекса.  Нужна ли выписка из ЕГРЮЛ ?	счёт в рамках жилищного кодекса								YES
Добрый день. Какие документы необходимы для открытия госконтракт.  Нужна ли выписка из ЕГРЮЛ ?	госконтракт								YES
Добрый день. Какие документы необходимы для открытия счёт для перечисления валюты.  Нужна ли выписка из ЕГРЮЛ ?	счёт для перечисления валюты								YES
Здравствуйте! Какие документы необходимы для открытия счёт для подтверждения открытия.  Нужна ли выписка из ЕГРЮЛ ?	счёт для подтверждения открытия								YES
Здравствуйте. Какие документы необходимы для открытия счета госконтракта.  Нужна ли выписка из ЕГРЮЛ ?	счета госконтракта								YES
Какие документы необходимы для открытия счёт для проверки на адресность перевода средств.  Нужна ли выписка из ЕГРЮЛ ?	счёт для проверки на адресность перевода средств								YES
Добрый день! Какие документы необходимы для открытия счёт в рамках ПП963.  Нужна ли выписка из ЕГРЮЛ ?	счёт в рамках ПП963								YES
Какие документы необходимы для открытия дополнительный счёт к валютному счёту.  Нужна ли выписка из ЕГРЮЛ ?	дополнительный счёт к валютному счёту								YES
Какие документы необходимы для открытия счёт по банкротству.  Нужна ли выписка из ЕГРЮЛ ?	счёт по банкротству								YES
какие документы нужны для открытия счета для потребительский кооператив		потребительский кооператив							YES
какие документы нужны для открытия счета для автономная некоммерческая организация		автономная некоммерческая организация							YES
какие документы нужны для открытия счета для товарищество собственников жилья		товарищество собственников жилья							YES
какие документы нужны для открытия счета для хоз. общества		хоз. общества							YES
какие документы нужны для открытия счета для частное учреждение		частное учреждение							YES
Добрый день. какие документы нужны для открытия счета для внесенное в государственный реестр казачьих обществ в Российской Федерации		внесенное в государственный реестр казачьих обществ в Российской Федерации							YES
Добрый день! какие документы нужны для открытия счета для общественное учреждение		общественное учреждение							YES
Добрый день! какие документы нужны для открытия счета для садоводческое объединение		садоводческое объединение							YES
Здравствуйте. какие документы нужны для открытия счета для юридическая консультация		юридическая консультация							YES
Здравствуйте. какие документы нужны для открытия счета для производственный корпоратив		производственный корпоратив							YES
Добрый день! какие документы нужны для открытия счета для коллегия адвокатов		коллегия адвокатов							YES
какие документы нужны для открытия счета для ООО		ООО							YES
Добрый день. какие документы нужны для открытия счета для хозяйственное общество		хозяйственное общество							YES
Добрый день. какие документы нужны для открытия счета для физ. лицо		физ. лицо							YES
Добрый день! какие документы нужны для открытия счета для товарищество на вере		товарищество на вере							YES
какие документы нужны для открытия счета для закрытое акционерное общество		закрытое акционерное общество							YES
Здравствуйте! какие документы нужны для открытия счета для полное товарищество		полное товарищество							YES
какие документы нужны для открытия счета для некоммерческие организации		некоммерческие организации							YES
какие документы нужны для открытия счета для юрик		юрик							YES
Добрый день! какие документы нужны для открытия счета для общество с дополнительной ответственностью		общество с дополнительной ответственностью							YES
Добрый день. мне необходимо открыть счёт для погашения кредитов в рамках кап. ремонта на физик. Какие необходимы #документы#?	счёт для погашения кредитов в рамках кап. ремонта	физик							YES
Здравствуйте! мне необходимо открыть госзаказ на физическое лицо. Какие необходимы #документы#?	госзаказ	физическое лицо							YES
Добрый день! мне необходимо открыть госзаказ на ПАО. Какие необходимы #документы#?	госзаказ	ПАО							YES
Добрый день. мне необходимо открыть счёт для подтверждения открытия на компания. Какие необходимы #документы#?	счёт для подтверждения открытия	компания							YES
мне необходимо открыть Расчетный счет на ЮЛ. Какие необходимы #документы#?	Расчетный счет	ЮЛ							YES
мне необходимо открыть доверительный счёт на юр. лицо. Какие необходимы #документы#?	доверительный счёт	юр. лицо							YES
мне необходимо открыть Счет доверительного управления на товарищество на вере. Какие необходимы #документы#?	Счет доверительного управления	товарищество на вере							YES
мне необходимо открыть отзываемый депозит на ФЛ. Какие необходимы #документы#?	отзываемый депозит	ФЛ							YES
Здравствуйте. мне необходимо открыть 159 ФЗ на общество с дополнительной ответственностью. Какие необходимы #документы#?	159 ФЗ	общество с дополнительной ответственностью							YES
мне необходимо открыть счёт для погашения кредитов в рамках кап. ремонта на община коренного малочисленного народа Российской Федерации. Какие необходимы #документы#?	счёт для погашения кредитов в рамках кап. ремонта	община коренного малочисленного народа Российской Федерации							YES
Здравствуйте. мне необходимо открыть ГосКонтракт на общественное движение. Какие необходимы #документы#?	ГосКонтракт	общественное движение							YES
мне необходимо открыть 159ФЗ на общество при одном учредителе. Какие необходимы #документы#?	159ФЗ	общество при одном учредителе							YES
Здравствуйте! мне необходимо открыть счета госконтракта на индивидуальный предприниматель. Какие необходимы #документы#?	счета госконтракта	индивидуальный предприниматель							YES
Добрый день. мне необходимо открыть счёт для уплаты процентов по капитальному ремонту на ООО. Какие необходимы #документы#?	счёт для уплаты процентов по капитальному ремонту	ООО							YES
Здравствуйте! мне необходимо открыть счет для ТСЖ на индивидуальный предприниматель. Какие необходимы #документы#?	счет для ТСЖ	индивидуальный предприниматель							YES
Добрый день. мне необходимо открыть арбитражный счёт на частное учреждение. Какие необходимы #документы#?	арбитражный счёт	частное учреждение							YES
мне необходимо открыть счёт внешнего управления на юр. лицо. Какие необходимы #документы#?	счёт внешнего управления	юр. лицо							YES
Добрый день! мне необходимо открыть счета госконтракта на частный клиент. Какие необходимы #документы#?	счета госконтракта	частный клиент							YES
Добрый день! мне необходимо открыть счёт в рамках жилищного кодекса на общество с дополнительной ответственностью. Какие необходимы #документы#?	счёт в рамках жилищного кодекса	общество с дополнительной ответственностью							YES
мне необходимо открыть счет для индивидуального предпринимателя на юридическая консультация. Какие необходимы #документы#?	счет для индивидуального предпринимателя	юридическая консультация							YES
Здравствуйте. какие документы для открытия в канадских долларах нужно предоставить в банк?				в канадских долларах					YES
какие документы для открытия в отечественной валюте нужно предоставить в банк?				в отечественной валюте					YES
какие документы для открытия в швейцарских франках нужно предоставить в банк?				в швейцарских франках					YES
Здравствуйте. какие документы для открытия в шведских кронах нужно предоставить в банк?				в шведских кронах					YES
Добрый день! какие документы для открытия рубли нужно предоставить в банк?				рубли					YES
какие документы для открытия российская валюта нужно предоставить в банк?				российская валюта					YES
какие документы для открытия валютный счёт нужно предоставить в банк?				валютный счёт					YES
Добрый день. какие документы для открытия RUB нужно предоставить в банк?				RUB					YES
какие документы для открытия NOK нужно предоставить в банк?				NOK					YES
Добрый день! какие документы для открытия рубль нужно предоставить в банк?				рубль					YES
Добрый день. какие документы для открытия руб. нужно предоставить в банк?				руб.					YES
какие документы для открытия рублевый нужно предоставить в банк?				рублевый					YES
какие документы для открытия доллар нужно предоставить в банк?				доллар					YES
какие документы для открытия не в нашей валюте нужно предоставить в банк?				не в нашей валюте					YES
какие документы для открытия SGD нужно предоставить в банк?				SGD					YES
Здравствуйте! какие документы для открытия GBP нужно предоставить в банк?				GBP					YES
какие документы для открытия в долларах нужно предоставить в банк?				в долларах					YES
Здравствуйте! какие документы для открытия баксы нужно предоставить в банк?				баксы					YES
Здравствуйте! какие документы для открытия ₽ нужно предоставить в банк?				₽					YES
Здравствуйте. какие документы для открытия норвежские кроны нужно предоставить в банк?				норвежские кроны					YES
При открытии счета выписку из ЕГРИП можно распечатать и предоставить с сайта ИФНС? или нужен оригинал?									YES
Здравствуйте. какие действия и документы необходимы для открытия #валютного счета (доллары США)#currency#? возможно ли открытие такого счета дистанционно, без посещения банка?						YES			YES
подскажите, как нам можно открыть в австралийских долларах				в австралийских долларах					
Здравствуйте. подскажите, как нам можно открыть RUB				RUB					
подскажите, как нам можно открыть в долларах				в долларах					
Здравствуйте. подскажите, как нам можно открыть доллары				доллары					
Здравствуйте! подскажите, как нам можно открыть в нашей валюте				в нашей валюте					
Здравствуйте. подскажите, как нам можно открыть SGD				SGD					
Здравствуйте! подскажите, как нам можно открыть не в нашей валюте				не в нашей валюте					
Добрый день. подскажите, как нам можно открыть в рублях				в рублях					
Добрый день. подскажите, как нам можно открыть JPY				JPY					
Здравствуйте. подскажите, как нам можно открыть в шведских кронах				в шведских кронах					
Здравствуйте. подскажите, как нам можно открыть доллар				доллар					
Здравствуйте. подскажите, как нам можно открыть шведские кроны				шведские кроны					
подскажите, как нам можно открыть EUR				EUR					
Здравствуйте. подскажите, как нам можно открыть рублевый				рублевый					
подскажите, как нам можно открыть норвежские кроны				норвежские кроны					
подскажите, как нам можно открыть в швейцарских франках				в швейцарских франках					
Здравствуйте! подскажите, как нам можно открыть AUD				AUD					
Добрый день. подскажите, как нам можно открыть dollar				dollar					
Здравствуйте! подскажите, как нам можно открыть в японских иенах				в японских иенах					
Добрый день. подскажите, как нам можно открыть рублей				рублей					
Добрый день! Я хотела бы открыть USD хозяйственное партнерство. Какие документы мне необходимо для этого иметь?		хозяйственное партнерство		USD					YES
Здравствуйте. Я хотела бы открыть dollar юридическое лицо. Какие документы мне необходимо для этого иметь?		юридическое лицо		dollar					YES
Я хотела бы открыть в евро юридическое лицо. Какие документы мне необходимо для этого иметь?		юридическое лицо		в евро					YES
Я хотела бы открыть € община коренного малочисленного народа Российской Федерации. Какие документы мне необходимо для этого иметь?		община коренного малочисленного народа Российской Федерации		€					YES
Я хотела бы открыть € не публичное акционерное общество. Какие документы мне необходимо для этого иметь?		не публичное акционерное общество		€					YES
Я хотела бы открыть ₽ союз. Какие документы мне необходимо для этого иметь?		союз		₽					YES
Здравствуйте! Я хотела бы открыть dollar товарищество собственников жилья. Какие документы мне необходимо для этого иметь?		товарищество собственников жилья		dollar					YES
Я хотела бы открыть SEK юридическая консультация. Какие документы мне необходимо для этого иметь?		юридическая консультация		SEK					YES
Я хотела бы открыть ₽ юр. лицо. Какие документы мне необходимо для этого иметь?		юр. лицо		₽					YES
Здравствуйте. Я хотела бы открыть в долларах общество взаимного страхования. Какие документы мне необходимо для этого иметь?		общество взаимного страхования		в долларах					YES
Здравствуйте! Я хотела бы открыть в австралийских долларах товарищество собственников жилья. Какие документы мне необходимо для этого иметь?		товарищество собственников жилья		в австралийских долларах					YES
Добрый день! Я хотела бы открыть AUD хозяйственное товарищество. Какие документы мне необходимо для этого иметь?		хозяйственное товарищество		AUD					YES
Я хотела бы открыть DKK внесенное в государственный реестр казачьих обществ в Российской Федерации. Какие документы мне необходимо для этого иметь?		внесенное в государственный реестр казачьих обществ в Российской Федерации		DKK					YES
Я хотела бы открыть руб. товарищество на вере. Какие документы мне необходимо для этого иметь?		товарищество на вере		руб.					YES
Я хотела бы открыть баксы общество с ограниченной ответственностью. Какие документы мне необходимо для этого иметь?		общество с ограниченной ответственностью		баксы					YES
Я хотела бы открыть рубль физик. Какие документы мне необходимо для этого иметь?		физик		рубль					YES
Здравствуйте. Я хотела бы открыть японские иены частный предприниматель. Какие документы мне необходимо для этого иметь?		частный предприниматель		японские иены					YES
Здравствуйте. Я хотела бы открыть dollar ЗАО. Какие документы мне необходимо для этого иметь?		ЗАО		dollar					YES
Здравствуйте. Я хотела бы открыть в канадских долларах ОАО. Какие документы мне необходимо для этого иметь?		ОАО		в канадских долларах					YES
Я хотела бы открыть в датских кронах коллегия адвокатов. Какие документы мне необходимо для этого иметь?		коллегия адвокатов		в датских кронах					YES
Здравствуйте. Я хотел бы открыть швейцарские франки дополнительный счёт к валютному счёту в швейцарские франки онлайн.Это возможно?	дополнительный счёт к валютному счёту			швейцарские франки		YES			
Добрый день! Я хотел бы открыть ₽ Банковское сопровождение государственных контрактов в ₽ онлайн.Это возможно?	Банковское сопровождение государственных контрактов			₽		YES			
